Event,Timestamp,Resource,Cost,Duration
Task B,2024-09-20 13:53:53,User4,37.16,6.88
Task C,2024-10-06 09:05:22,User1,18.67,4.79
Task C,2024-08-11 01:03:01,User1,57.54,5.14
Task D,2024-09-24 14:43:11,User2,2.12,7.22
Task A,2024-09-04 18:00:52,User2,29.24,8.68
Task C,2024-10-05 02:28:14,User2,85.04,4.14
Task A,2024-09-02 05:42:53,User4,49.58,6.32
Task C,2024-09-29 20:22:09,User4,60.66,6.19
Task B,2024-08-20 03:28:34,User1,8.29,5.04
Task C,2024-09-18 10:30:17,User3,16.35,3.47
Task B,2024-08-23 05:20:36,User1,60.91,4.46
Task B,2024-08-13 06:51:34,User3,35.56,2.37
Task A,2024-08-16 21:46:12,User3,63.36,3.31
Task A,2024-08-20 09:43:37,User4,72.30,1.63
Task A,2024-09-14 04:20:51,User2,96.52,1.45
Task D,2024-09-20 13:28:52,User4,39.12,7.14
Task A,2024-09-29 22:13:53,User1,34.07,8.01
Task C,2024-08-16 09:08:07,User2,74.48,7.50
Task D,2024-08-16 07:57:21,User4,32.28,5.78
Task B,2024-09-02 07:08:03,User2,80.76,5.28
Task D,2024-10-03 07:16:50,User2,45.11,3.98
Task D,2024-09-18 00:11:54,User4,48.73,3.39
Task B,2024-09-17 14:27:51,User3,93.35,7.92
Task C,2024-09-20 15:33:16,User2,9.56,1.22
Task D,2024-09-15 13:11:11,User4,41.03,6.24
Task A,2024-09-29 17:22:18,User3,80.42,3.24
Task D,2024-09-23 02:51:40,User2,57.95,6.73
Task D,2024-09-07 01:13:58,User3,94.67,9.34
Task A,2024-08-28 02:58:23,User4,71.51,9.97
Task C,2024-09-02 21:49:53,User4,32.57,3.13
Task C,2024-09-14 12:04:57,User3,36.58,1.22
Task A,2024-10-02 19:57:30,User2,93.70,1.83
Task D,2024-09-13 18:27:23,User4,76.94,7.28
Task D,2024-09-13 11:43:48,User2,76.89,8.65
Task B,2024-10-02 16:36:05,User2,76.54,6.36
Task C,2024-08-31 19:30:08,User3,58.91,7.65
Task D,2024-08-31 00:56:10,User2,24.49,3.08
Task A,2024-09-11 15:50:06,User2,87.70,8.56
Task D,2024-10-07 07:14:50,User2,41.92,7.20
Task C,2024-10-04 07:17:51,User4,31.35,7.02
Task C,2024-09-15 00:26:29,User4,44.48,7.68
Task A,2024-10-04 05:55:01,User2,48.74,7.22
Task C,2024-10-01 23:54:53,User2,18.92,9.08
Task C,2024-10-08 05:44:48,User1,72.87,3.97
Task D,2024-09-01 08:02:59,User1,17.18,1.60
Task D,2024-08-21 14:49:53,User3,22.90,3.46
Task D,2024-09-06 12:59:20,User3,96.64,8.13
Task C,2024-08-12 07:42:18,User3,85.99,2.54
Task D,2024-08-29 04:12:29,User1,59.98,3.06
Task C,2024-08-14 09:39:23,User1,34.78,1.12
