Event,Timestamp,Resource,Cost,Duration
Client Request Received,2024-10-10 09:00:00,Client Manager,500,2
Initial Client Meeting,2024-10-10 11:30:00,Client Manager,1000,1
Requirement Analysis,2024-10-10 14:00:00,Project Manager,2500,3
Technical Feasibility Study,2024-10-10 17:30:00,System Architect,3000,4
System Design Draft,2024-10-11 09:00:00,System Architect,5000,5
Budget Estimation,2024-10-11 13:00:00,Finance Manager,2000,2
Approval from Client,2024-10-11 15:00:00,Client Manager,1000,1
Development Kickoff,2024-10-12 09:00:00,Lead Developer,12000,8
Database Design,2024-10-12 10:00:00,Database Administrator,4000,5
API Development,2024-10-12 14:00:00,Backend Developer,7000,6
Frontend Development,2024-10-13 09:00:00,Frontend Developer,6000,5
Integration with API,2024-10-13 14:00:00,Lead Developer,8000,4
Code Review Phase 1,2024-10-14 10:00:00,QA Engineer,3000,3
Bug Fixing,2024-10-14 13:00:00,Lead Developer,5000,4
Testing Phase 1,2024-10-15 09:00:00,QA Team,9000,5
Client Review Meeting,2024-10-15 14:00:00,Client Manager,1500,2
UI Improvements,2024-10-16 10:00:00,Frontend Developer,4000,6
Security Testing,2024-10-16 15:00:00,Security Analyst,7000,4
System Design Finalization,2024-10-17 09:00:00,System Architect,4500,3
Code Optimization,2024-10-17 12:00:00,Backend Developer,3000,4
Performance Testing,2024-10-18 09:00:00,Performance Engineer,8500,6
Deployment Planning,2024-10-18 15:00:00,DevOps Engineer,2500,2
System Deployment,2024-10-19 10:00:00,DevOps Engineer,10000,5
Post-Deployment Testing,2024-10-19 16:00:00,QA Team,7000,4
Client Training,2024-10-20 09:00:00,Client Manager,5000,4
Go-Live Approval,2024-10-20 14:00:00,Client Manager,1500,2
System Go-Live,2024-10-21 09:00:00,DevOps Engineer,12000,6
Post-Go-Live Monitoring,2024-10-21 15:00:00,Support Team,6000,3
Issue Resolution,2024-10-22 09:00:00,Support Team,8000,5
Client Feedback Collection,2024-10-22 15:00:00,Client Manager,2000,2
Project Closure,2024-10-23 10:00:00,Project Manager,3500,3
